##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	11_2H_both_S9_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	17919193
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.607104907012275	32.0	32.0	32.0	32.0	32.0
2	31.26561620269395	32.0	32.0	32.0	32.0	32.0
3	34.52520970112884	37.0	32.0	37.0	32.0	37.0
4	35.410014334908944	37.0	37.0	37.0	32.0	37.0
5	35.82596526528845	37.0	37.0	37.0	37.0	37.0
6	38.99072179199141	41.0	41.0	41.0	37.0	41.0
7	39.09456960478075	41.0	41.0	41.0	37.0	41.0
8	39.243424410909576	41.0	41.0	41.0	37.0	41.0
9	39.39083032366469	41.0	41.0	41.0	37.0	41.0
10-11	39.38100694601593	41.0	41.0	41.0	37.0	41.0
12-13	39.35558442838358	41.0	41.0	41.0	37.0	41.0
14-15	39.302549422845104	41.0	41.0	41.0	37.0	41.0
16-17	39.09938628374614	41.0	41.0	41.0	37.0	41.0
18-19	39.178542443289714	41.0	41.0	41.0	37.0	41.0
20-21	39.16137197138286	41.0	41.0	41.0	37.0	41.0
22-23	39.167476598974076	41.0	41.0	41.0	37.0	41.0
24-25	39.21118481730734	41.0	41.0	41.0	37.0	41.0
26-27	39.230080227385244	41.0	41.0	41.0	37.0	41.0
28-29	39.23038166395105	41.0	41.0	41.0	37.0	41.0
30-31	39.154253709974554	41.0	41.0	41.0	37.0	41.0
32-33	38.81317576634171	41.0	41.0	41.0	32.0	41.0
34-35	38.623838026634346	41.0	41.0	41.0	32.0	41.0
36-37	38.512570962319565	41.0	41.0	41.0	32.0	41.0
38-39	38.492826518471006	41.0	41.0	41.0	32.0	41.0
40-41	38.80336991180351	41.0	41.0	41.0	32.0	41.0
42-43	38.96062024110125	41.0	41.0	41.0	37.0	41.0
44-45	39.06373004632519	41.0	41.0	41.0	37.0	41.0
46-47	39.04419666108848	41.0	41.0	41.0	37.0	41.0
48-49	39.0050857759052	41.0	41.0	41.0	37.0	41.0
50-51	39.01094441027562	41.0	41.0	41.0	37.0	41.0
52-53	39.06938629992992	41.0	41.0	41.0	37.0	41.0
54-55	38.874889120285715	41.0	41.0	41.0	32.0	41.0
56-57	38.98624952027694	41.0	41.0	41.0	37.0	41.0
58-59	38.90948682789454	41.0	41.0	41.0	34.5	41.0
60-61	38.822563103148674	41.0	41.0	41.0	32.0	41.0
62-63	38.87969664705325	41.0	41.0	41.0	32.0	41.0
64-65	38.826886149393005	41.0	41.0	41.0	32.0	41.0
66-67	38.800784946063146	41.0	41.0	41.0	32.0	41.0
68-69	38.724180631348744	41.0	41.0	41.0	32.0	41.0
70-71	38.76128029314713	41.0	41.0	41.0	32.0	41.0
72-73	38.679442734949056	41.0	41.0	41.0	32.0	41.0
74-75	38.661080049754474	41.0	41.0	41.0	32.0	41.0
76-77	38.11063746006866	41.0	39.0	41.0	32.0	41.0
78-79	38.23869660313386	41.0	39.0	41.0	32.0	41.0
80-81	38.5951208293811	41.0	41.0	41.0	32.0	41.0
82-83	38.67647608349327	41.0	41.0	41.0	32.0	41.0
84-85	38.5698400871066	41.0	41.0	41.0	32.0	41.0
86-87	38.51161511570304	41.0	41.0	41.0	32.0	41.0
88-89	38.495517599481175	41.0	41.0	41.0	32.0	41.0
90-91	38.4144256942821	41.0	41.0	41.0	32.0	41.0
92-93	38.31178075374265	41.0	41.0	41.0	32.0	41.0
94-95	38.17684602202789	41.0	39.0	41.0	32.0	41.0
96-97	38.124590432169576	41.0	37.0	41.0	32.0	41.0
98-99	37.95582228507723	41.0	37.0	41.0	29.5	41.0
100-101	36.99869581180358	41.0	37.0	41.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.40484015876691615
1101	2	-0.6091751452420731
1101	3	-1.1118918554761805
1101	4	-1.0335857784971552
1101	5	-0.9211746587151382
1101	6	-1.347958839993609
1101	7	-0.6563600224663659
1101	8	-0.29715485952009857
1101	9	-0.19921930562655632
1101	10-11	-0.13616989186292017
1101	12-13	-0.16183541544432245
1101	14-15	-0.09589536281012556
1101	16-17	-0.08595800155039512
1101	18-19	-0.10619664051018418
1101	20-21	-0.06196080432147966
1101	22-23	-0.1280384063673381
1101	24-25	-0.12714713367290642
1101	26-27	-0.10148153932652804
1101	28-29	-0.1023575449819063
1101	30-31	-0.10734352459275698
1101	32-33	0.04344932218594977
1101	34-35	-0.11200053619965189
1101	36-37	-0.017845806330917924
1101	38-39	-0.20005834605616002
1101	40-41	-0.24416547066110184
1101	42-43	-0.171949004945823
1101	44-45	-0.10957415404856619
1101	46-47	-0.07222553718984415
1101	48-49	-0.04984547828745178
1101	50-51	-0.07811531456567877
1101	52-53	-0.13888045196613774
1101	54-55	0.025267954788560587
1101	56-57	-0.1185126020457119
1101	58-59	-0.10911234816838089
1101	60-61	-0.04581044101363574
1101	62-63	-0.1923724629040393
1101	64-65	-0.16552010360195624
1101	66-67	-0.033998774193115366
1101	68-69	-0.1363478682599677
1101	70-71	-0.20455415797842136
1101	72-73	-0.14071030235962212
1101	74-75	-0.1246602977771829
1101	76-77	-0.23162920780897167
1101	78-79	-0.007078193431752311
1101	80-81	-0.10996889257636155
1101	82-83	-0.1773296547198484
1101	84-85	-0.07678122581398128
1101	86-87	-0.11816317961265099
1101	88-89	-0.2576693847202449
1101	90-91	-0.21984674439523388
1101	92-93	-0.209688158243452
1101	94-95	-0.13135800107991713
1101	96-97	-0.2063060699210908
1101	98-99	-0.12056957871232044
1101	100-101	-0.2250412271023876
1102	1	-0.5284320865963537
1102	2	-0.6034630382766117
1102	3	-1.2379384273195555
1102	4	-1.0550971535297364
1102	5	-1.070728062671293
1102	6	-1.3943735696116804
1102	7	-1.11167257826866
1102	8	-0.719256078529952
1102	9	-0.4062386127652218
1102	10-11	-0.23025962229424835
1102	12-13	-0.16756323301233778
1102	14-15	-0.1888428379754714
1102	16-17	-0.13815888060235437
1102	18-19	-0.13834039810615906
1102	20-21	-0.1667565888961846
1102	22-23	-0.2609795760428497
1102	24-25	-0.21504646365521296
1102	26-27	-0.08232263433755804
1102	28-29	-0.1545744726857805
1102	30-31	-0.13096027104035812
1102	32-33	0.02756998084982598
1102	34-35	-0.051927563512570885
1102	36-37	-0.08351842372233165
1102	38-39	-0.18239501007071368
1102	40-41	-0.21656665149262722
1102	42-43	-0.14742507696215768
1102	44-45	-0.17209315145674253
1102	46-47	-0.168551367553043
1102	48-49	-0.15407086734748532
1102	50-51	-0.14587414659779796
1102	52-53	-0.242766798766759
1102	54-55	0.002888953858473542
1102	56-57	-0.18792701826305347
1102	58-59	-0.15191158772344693
1102	60-61	-0.105426088936035
1102	62-63	-0.2002733853885772
1102	64-65	-0.10510635204760632
1102	66-67	-0.1306934917449567
1102	68-69	-0.063155816121089
1102	70-71	-0.10876425948053736
1102	72-73	-0.09704822368598798
1102	74-75	-0.21255196466341886
1102	76-77	-0.5170169527431128
1102	78-79	-0.0984990995013959
1102	80-81	-0.14565420207928526
1102	82-83	-0.2608727048615762
1102	84-85	-0.14177523326127783
1102	86-87	-0.1606911374537603
1102	88-89	-0.2611910651199594
1102	90-91	-0.24826565199433048
1102	92-93	-0.25355278063999265
1102	94-95	-0.28442690589348985
1102	96-97	-0.32078252572969745
1102	98-99	-0.200720118080703
1102	100-101	-0.27399087490132246
1103	1	-0.6588638193126144
1103	2	-0.5710696869350436
1103	3	-1.2434518014329896
1103	4	-1.0959486747488896
1103	5	-1.0026782694390732
1103	6	-1.1084531293740838
1103	7	-1.183244765635628
1103	8	-0.9915797532875672
1103	9	-0.49404717874718784
1103	10-11	-0.271205748546798
