##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	14_3B_control_S10_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4440378
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.602295119919972	32.0	32.0	32.0	32.0	32.0
2	31.378019168638346	32.0	32.0	32.0	32.0	32.0
3	35.68878167579427	37.0	37.0	37.0	32.0	37.0
4	36.00772974733232	37.0	37.0	37.0	32.0	37.0
5	36.171620298992565	37.0	37.0	37.0	37.0	37.0
6	39.42468591637919	41.0	41.0	41.0	37.0	41.0
7	39.82293241701495	41.0	41.0	41.0	37.0	41.0
8	39.59652804333325	41.0	41.0	41.0	37.0	41.0
9	40.02025570796	41.0	41.0	41.0	37.0	41.0
10-11	40.13353469006468	41.0	41.0	41.0	37.0	41.0
12-13	40.14826474232599	41.0	41.0	41.0	37.0	41.0
14-15	40.13603819314481	41.0	41.0	41.0	37.0	41.0
16-17	40.088647745754976	41.0	41.0	41.0	37.0	41.0
18-19	40.08016558500199	41.0	41.0	41.0	37.0	41.0
20-21	40.06297177852876	41.0	41.0	41.0	37.0	41.0
22-23	40.076307805326486	41.0	41.0	41.0	37.0	41.0
24-25	40.071140339853955	41.0	41.0	41.0	37.0	41.0
26-27	40.0045336230384	41.0	41.0	41.0	37.0	41.0
28-29	39.97276121537401	41.0	41.0	41.0	37.0	41.0
30-31	39.94699753039043	41.0	41.0	41.0	37.0	41.0
32-33	39.945213898456394	41.0	41.0	41.0	37.0	41.0
34-35	39.987057745984686	41.0	41.0	41.0	37.0	41.0
36-37	39.980435899826546	41.0	41.0	41.0	37.0	41.0
38-39	39.95721839447002	41.0	41.0	41.0	37.0	41.0
40-41	39.94993421731213	41.0	41.0	41.0	37.0	41.0
42-43	39.919662244971036	41.0	41.0	41.0	37.0	41.0
44-45	39.8758689012512	41.0	41.0	41.0	37.0	41.0
46-47	39.88163755428029	41.0	41.0	41.0	37.0	41.0
48-49	39.881021840933364	41.0	41.0	41.0	37.0	41.0
50-51	39.87566092346192	41.0	41.0	41.0	37.0	41.0
52-53	39.829923375892776	41.0	41.0	41.0	37.0	41.0
54-55	39.82867742340855	41.0	41.0	41.0	37.0	41.0
56-57	39.802028903845574	41.0	41.0	41.0	37.0	41.0
58-59	39.79027596299234	41.0	41.0	41.0	37.0	41.0
60-61	39.76669508767047	41.0	41.0	41.0	37.0	41.0
62-63	39.730614713432054	41.0	41.0	41.0	37.0	41.0
64-65	39.719654272676785	41.0	41.0	41.0	37.0	41.0
66-67	39.69978377966921	41.0	41.0	41.0	37.0	41.0
68-69	39.677420030456865	41.0	41.0	41.0	37.0	41.0
70-71	39.592133822841205	41.0	41.0	41.0	37.0	41.0
72-73	39.596929022709325	41.0	41.0	41.0	37.0	41.0
74-75	39.564604297201726	41.0	41.0	41.0	37.0	41.0
76-77	39.179151977601904	41.0	41.0	41.0	34.5	41.0
78-79	39.268587606730776	41.0	41.0	41.0	37.0	41.0
80-81	39.41491940551007	41.0	41.0	41.0	37.0	41.0
82-83	39.456003970833116	41.0	41.0	41.0	37.0	41.0
84-85	39.42119465955376	41.0	41.0	41.0	37.0	41.0
86-87	39.38690670028542	41.0	41.0	41.0	37.0	41.0
88-89	39.24408969236403	41.0	41.0	41.0	37.0	41.0
90-91	39.265694384577166	41.0	41.0	41.0	37.0	41.0
92-93	39.19740267607848	41.0	41.0	41.0	37.0	41.0
94-95	39.1137538290659	41.0	41.0	41.0	37.0	41.0
96-97	39.099788689161144	41.0	41.0	41.0	37.0	41.0
98-99	38.8929776924397	41.0	41.0	41.0	32.0	41.0
100-101	38.42611732604747	41.0	39.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.02588949302063881
1101	2	0.037693192736490744
1101	3	-0.06856233882722762
1101	4	-0.07924890885313118
1101	5	0.05544706602659488
1101	6	-0.17185563083472744
1101	7	-0.047206476625277105
1101	8	-0.12324495509795952
1101	9	0.033929128672241404
1101	10-11	0.039689767637042905
1101	12-13	0.040768734285315134
1101	14-15	-0.022256533219191965
1101	16-17	0.011816279667769436
1101	18-19	0.013311865925800248
1101	20-21	-0.008102507042451634
1101	22-23	0.03028880899422859
1101	24-25	0.014422921970272284
1101	26-27	-0.008899234480146845
1101	28-29	-0.013633493442775091
1101	30-31	0.08425342750314968
1101	32-33	0.031229231236068244
1101	34-35	-0.04768235118790898
1101	36-37	0.004405332802583928
1101	38-39	-0.019917456837561076
1101	40-41	-0.025885508267961654
1101	42-43	-0.025684355839892703
1101	44-45	0.013406366730741581
1101	46-47	-0.013690041869672598
1101	48-49	-0.0014117114681013732
1101	50-51	-0.027779561368006966
1101	52-53	0.022543234982833837
1101	54-55	-3.7152360486203406E-4
1101	56-57	-7.403977754449897E-4
1101	58-59	-0.006776916414523271
1101	60-61	0.018525562735362655
1101	62-63	-0.012595889245901049
1101	64-65	0.041820528220313236
1101	66-67	-0.02790970366337575
1101	68-69	-0.010634644296054319
1101	70-71	0.13736177384544135
1101	72-73	0.13429346566143607
1101	74-75	0.06040216539391707
1101	76-77	0.10650866961115923
1101	78-79	0.1664770358808596
1101	80-81	0.1335174204715699
1101	82-83	0.09104528489036312
1101	84-85	0.10092105581190225
1101	86-87	0.09017830031825014
1101	88-89	0.24194517832565055
1101	90-91	0.1279351947318048
1101	92-93	0.24625153076291184
1101	94-95	0.29573106443302777
1101	96-97	0.10818053932889171
1101	98-99	0.4372235308614094
1101	100-101	0.23002183899848205
1102	1	-0.066197867629473
1102	2	-0.1629966895275956
1102	3	-0.040039836676143636
1102	4	-0.06900391161250496
1102	5	0.03367716647706942
1102	6	-0.14324908094452127
1102	7	0.02983037619753759
1102	8	-0.16969802537338552
1102	9	-0.0399883633125242
1102	10-11	0.01056338823710945
1102	12-13	0.060821987546866296
1102	14-15	0.0059499264060391965
1102	16-17	0.05349532322752282
1102	18-19	0.07947796882018565
1102	20-21	0.04064000061970319
1102	22-23	0.046556843758523314
1102	24-25	0.044046679771547304
1102	26-27	0.009567090008594903
1102	28-29	0.021555452782784812
1102	30-31	0.09015595822278755
1102	32-33	-7.52468616028068E-4
1102	34-35	-0.07387818932808443
1102	36-37	-0.045864425899814876
1102	38-39	-0.006649043666556054
1102	40-41	-0.009527669070095612
1102	42-43	-0.07004333256058004
1102	44-45	0.07182722100884575
1102	46-47	0.00805376066495711
1102	48-49	0.05367735994637712
1102	50-51	0.07497359694646377
1102	52-53	0.07285597700386859
1102	54-55	0.043528260787738304
1102	56-57	0.06392013762784643
1102	58-59	-0.014797526915806714
1102	60-61	0.07100627589002073
1102	62-63	0.051373650932376336
1102	64-65	0.13380751655571288
1102	66-67	0.02692223539856542
1102	68-69	-0.030510975147862496
1102	70-71	0.09555262899088746
1102	72-73	0.08430501742832774
1102	74-75	0.1047997119674946
1102	76-77	0.1817083693419761
1102	78-79	0.08492501570326283
1102	80-81	0.17520836119987848
1102	82-83	0.1041425323460956
1102	84-85	0.1330840915394802
1102	86-87	0.08098332414713383
1102	88-89	0.3056142190531119
1102	90-91	0.3046996791507439
1102	92-93	0.28962956674762097
1102	94-95	0.2620822258653206
1102	96-97	0.25832223076853467
1102	98-99	0.47397944931898195
1102	100-101	0.2836199265478285
1103	1	-0.12704891730809464
1103	2	-0.07477448769853012
1103	3	-0.07163802104189188
1103	4	-0.12880653291193056
1103	5	0.08542523040683392
1103	6	0.018387477676903075
1103	7	0.02129101589878246
1103	8	-0.07957748276473353
1103	9	-0.050011008603945584
1103	10-11	0.018877704526630623
1103	12-13	-0.02247621835863356
1103	14-15	0.014768084880934396
1103	16-17	0.0026688227659477093
1103	18-19	0.02949776330029863
1103	20-21	0.053051913913918725
1103	22-23	0.03527129286588604
1103	24-25	0.04283997170846732
1103	26-27	0.0176063525090413
1103	28-29	0.0020645536107579687
1103	30-31	0.08292878346691879
1103	32-33	0.0018693639022302477
1103	34-35	-0.019347062111449986
1103	36-37	0.03984805289839244
1103	38-39	7.45962133436251E-4
1103	40-41	0.009206895646180158
1103	42-43	0.0831307843574578
1103	44-45	0.17046243634727887
1103	46-47	0.08049061030776983
1103	48-49	-0.007237693365439668
1103	50-51	-0.06439033196400601
1103	52-53	-0.006761337752742236
1103	54-55	0.0036063991648020988
1103	56-57	0.046801910573542216
1103	58-59	0.03279118935471814
1103	60-61	0.034794689334830764
1103	62-63	0.03979733886423986
1103	64-65	0.1151953107931476
1103	66-67	0.1723888488568477
1103	68-69	0.09295295352143995
1103	70-71	0.10329046833231104
1103	72-73	0.168704073131984
1103	74-75	0.12262949949320046
1103	76-77	0.10053608679281467
1103	78-79	0.18082917665657305
1103	80-81	0.11162206849974865
1103	82-83	0.17879650338282005
1103	84-85	0.23644329541424725
1103	86-87	0.1797046286560473
1103	88-89	0.3693452735651732
1103	90-91	0.27953124202363
1103	92-93	0.34176768157439597
1103	94-95	0.4299234242519603
1103	96-97	0.2595755850095074
1103	98-99	0.5470953023049461
1103	100-101	0.4817016199348245
1104	1	-0.13629157607226716
1104	2	-0.06221215461791729
1104	3	-0.03251574522454348
1104	4	-0.07428513458177832
1104	5	0.10151077569376099
1104	6	-0.02204037107157575
1104	7	-0.08363445451423246
1104	8	-0.14759634177655556
1104	9	-0.020091066203576702
1104	10-11	-0.07825650109556648
1104	12-13	0.02629751204113262
1104	14-15	0.010776257739458117
1104	16-17	0.03185542356406046
1104	18-19	0.028046878967984412
1104	20-21	0.06303259660739258
1104	22-23	0.019043462171445924
1104	24-25	0.015877094025434246
1104	26-27	0.02883527351678339
1104	28-29	-0.008597487299020656
1104	30-31	-0.06336020478923388
1104	32-33	-0.024137076813801173
1104	34-35	-0.046137744828499194
1104	36-37	4.1553309868191945E-4
1104	38-39	0.03591864731039607
1104	40-41	-0.006345342146211408
1104	42-43	-0.012658637826184815
1104	44-45	0.10692988369482492
1104	46-47	0.06874819410086985
1104	48-49	0.026206289407930683
1104	50-51	0.017100123446766702
1104	52-53	0.01857654947809806
1104	54-55	0.044184273494074944
1104	56-57	0.04579310798981595
1104	58-59	0.018139901361223565
1104	60-61	-0.05868857529570448
1104	62-63	0.024866449055828355
1104	64-65	0.07198571384466845
1104	66-67	0.09091750498503615
1104	68-69	0.054808009953667636
1104	70-71	0.11509066509196941
1104	72-73	0.14986665735096238
1104	74-75	0.1793354104310083
1104	76-77	0.15104568642327365
1104	78-79	0.17497786047992037
1104	80-81	0.22540994175685825
1104	82-83	0.11739402730457016
1104	84-85	0.26299001933653443
1104	86-87	0.15894564319081184
1104	88-89	0.2995740775465947
1104	90-91	0.33407426824535946
1104	92-93	0.3380198132276746
1104	94-95	0.43196702111239915
1104	96-97	0.35903114185827434
1104	98-99	0.6275810959654322
1104	100-101	0.42390345269318885
1105	1	-0.006559735621202378
1105	2	-0.06385664451559592
1105	3	-0.07861957377514983
1105	4	0.011696705474506075
1105	5	0.17412414774950946
1105	6	-0.03360296366690818
1105	7	-0.036232656963917975
1105	8	0.08378714511935215
1105	9	0.0378889670930036
1105	10-11	0.08102379407505111
1105	12-13	0.12222543670498709
1105	14-15	0.09575406517932095
1105	16-17	0.0704734279839414
1105	18-19	0.10024784946652687
1105	20-21	0.10314895966401849
1105	22-23	0.07627850080321963
1105	24-25	0.09928699862354762
1105	26-27	0.006734175697395983
1105	28-29	0.009792786062760683
1105	30-31	0.09483504918828345
1105	32-33	0.03991130422426892
1105	34-35	0.023406523342544006
1105	36-37	0.13011200138371493
1105	38-39	0.16273648450835765
1105	40-41	0.11900559237693642
1105	42-43	0.09846504303678927
1105	44-45	0.17769502849299812
1105	46-47	0.07247515710923125
1105	48-49	0.019821044957524236
1105	50-51	0.02014424573921758
1105	52-53	0.14073350373752191
1105	54-55	0.13167786307853646
1105	56-57	0.13649173163988593
1105	58-59	0.09718039598538297
1105	60-61	0.031606868826159484
1105	62-63	0.01813894731674992
1105	64-65	0.02741163672816782
1105	66-67	-0.00767817580820207
1105	68-69	0.06638765698619409
1105	70-71	0.10307303484644592
1105	72-73	0.09368201413894184
1105	74-75	0.07115671504871557
1105	76-77	0.16533000928347974
1105	78-79	0.1277292686237388
1105	80-81	0.23755418540741147
1105	82-83	0.14798043402119276
1105	84-85	0.15565141289755502
1105	86-87	0.030268840756299653
1105	88-89	0.24553516677433151
1105	90-91	0.32356800854051926
1105	92-93	0.36932702257411165
1105	94-95	0.37385648978898445
1105	96-97	0.3200236330422399
1105	98-99	0.4983853333235331
1105	100-101	0.3792248066108428
1106	1	-0.11891496444269833
1106	2	0.015145687592980295
1106	3	-0.0074791663584719
1106	4	0.047355861811823274
1106	5	0.14494334629313954
1106	6	-0.05819752874185724
1106	7	0.08502118210137155
1106	8	-0.030178653183696724
1106	9	0.0043591569284515685
1106	10-11	0.05445547244317339
1106	12-13	0.06855293908500926
1106	14-15	0.10175833664117562
1106	16-17	0.16650997158355807
1106	18-19	0.12352092560712435
1106	20-21	0.09667760941518111
1106	22-23	0.11009918916391825
1106	24-25	0.08532639490608318
1106	26-27	0.08768075812499632
1106	28-29	0.13805745602494568
1106	30-31	0.16123629608718915
1106	32-33	0.05490335551652237
1106	34-35	0.07120129778780893
1106	36-37	0.12032820400279576
1106	38-39	0.12170669696938319
1106	40-41	0.07981820904590364
1106	42-43	0.1470685115570376
1106	44-45	0.14578090181131387
1106	46-47	0.14001729121111595
1106	48-49	0.03657671384348049
1106	50-51	0.1270432380763964
1106	52-53	0.08026583110650165
1106	54-55	0.07324320743182966
1106	56-57	0.056711885367384696
1106	58-59	0.1257779533399841
1106	60-61	0.12135337676910041
1106	62-63	0.11208398835335487
1106	64-65	0.14412340578706306
1106	66-67	0.16728953779681888
1106	68-69	0.19753640673375372
1106	70-71	0.29369492344155645
1106	72-73	0.3088116847563427
1106	74-75	0.24514691054737625
1106	76-77	0.13553177740139688
1106	78-79	0.2828397800226341
1106	80-81	0.31110359738404725
1106	82-83	0.25033562069091886
1106	84-85	0.18821740428048628
1106	86-87	0.18900207969446825
1106	88-89	0.36683090965647835
1106	90-91	0.4074726533058737
1106	92-93	0.3620936861289863
1106	94-95	0.3863099198333515
1106	96-97	0.40248426979925256
1106	98-99	0.5851268850863391
